Question Index,Topic,Marks
9231_s17_qp_22_Q2,Equilibrium of Rigid Body,8
9231_s17_qp_22_Q3,Momentum,10
9231_s17_qp_22_Q5,Circular Motion,12
9231_s17_qp_23_Q3,Momentum,10
9231_s17_qp_23_Q4,Equilibrium of Rigid Body,10
9231_s17_qp_23_Q5,Circular Motion,10
9231_s18_qp_22_Q3,Momentum,9
9231_s18_qp_22_Q4,Equilibrium of Rigid Body,11
9231_s18_qp_22_Q11A,Circular Motion,12
9231_s18_qp_23_Q2,Momentum,9
9231_s18_qp_23_Q4,Equilibrium of Rigid Body,10
9231_s18_qp_23_Q5,Momentum,11
9231_s19_qp_22_Q3,Momentum,10
9231_s19_qp_22_Q4,Equilibrium of Rigid Body,10
9231_s19_qp_22_Q11A,Circular Motion,12
9231_s19_qp_23_Q2,Circular Motion,8
9231_s19_qp_23_Q3,Momentum,9
9231_s19_qp_23_Q5,Equilibrium of Rigid Body,12
9231_s20_qp_32_Q1,Projectile Motion,5
9231_s20_qp_32_Q2,Circular Motion,5
9231_s20_qp_32_Q3,Hooke's Law,7
9231_s20_qp_32_Q4,Center of Mass,7
9231_s20_qp_32_Q5,General Straight Motion,8
9231_s20_qp_32_Q6,Momentum,8
9231_s20_qp_32_Q7,Circular Motion,10
9231_s20_qp_33_Q1,Circular Motion,2
9231_s20_qp_33_Q2,General Straight Motion,6
9231_s20_qp_33_Q3,Circular Motion,6
9231_s20_qp_33_Q4,Center of Mass,8
9231_s20_qp_33_Q5,Momentum,8
9231_s20_qp_33_Q6,Projectile Motion,10
9231_s20_qp_33_Q7,Hooke's Law,10
9231_s21_qp_32_Q1,Center of Mass,5
9231_s21_qp_32_Q2,Circular Motion,6
9231_s21_qp_32_Q3,Hooke's Law,7
9231_s21_qp_32_Q4,Center of Mass,7
9231_s21_qp_32_Q5,Circular Motion,8
9231_s21_qp_32_Q6,Momentum,8
9231_s21_qp_32_Q7,Projectile Motion,9
9231_s21_qp_33_Q1,Center of Mass,3
9231_s21_qp_33_Q2,Hooke's Law,5
9231_s21_qp_33_Q3,Circular Motion,6
9231_s21_qp_33_Q4,Circular Motion,8
9231_s21_qp_33_Q5,General Straight Motion,10
9231_s21_qp_33_Q6,Momentum,9
9231_s21_qp_33_Q7,Projectile Motion,9
9231_s22_qp_32_Q1,Hooke's Law,5
9231_s22_qp_32_Q2,Circular Motion,5
9231_s22_qp_32_Q3,General Straight Motion,5
9231_s22_qp_32_Q4,Center of Mass,8
9231_s22_qp_32_Q5,Circular Motion,7
9231_s22_qp_32_Q6,Momentum,9
